coordinates,name
42.3386° N 71.0881° W,Snell Library
42.3391° N 71.0875° W,Curry Student Center
42.3401° N 71.0882° W,Krentzman Quadrangle
42.3399° N 71.0881° W,Ell Hall
42.3399° N 71.0887° W,Richards Hall
42.3376° N 71.0902° W,Shillman Hall
42.3367° N 71.0906° W,Ryder Hall
42.3393° N 71.0885° W,Hayden Hall
42.3393° N 71.0868° W,Robinson Hall
42.3386° N 71.0909° W,Kariotis Hall
42.3397° N 71.0870° W,Mugar Life Sciences Building
42.3386° N 71.0899° W,Forsyth Building
42.3370° N 71.0914° W,Behrakis Health Sciences Center
42.3388° N 71.0889° W,Churchill Hall
42.3403° N 71.0878° W,Dodge Hall
42.3386° N 71.0902° W,Dockser Hall
42.3383° N 71.0908° W,Lake Hall
42.3381° N 71.0908° W,Holmes Hall
42.3381° N 71.0901° W,Nightingale Hall
42.3376° N 71.0909° W,Meserve Hall
42.3390° N 71.0914° W,Stearns Center
42.3383° N 71.0892° W,Cullinane Hall
42.3420° N 71.0905° W,White Hall
42.3373° N 71.0914° W,West Village F
42.3380° N 71.0922° W,West Village G
42.3388° N 71.0921° W,West Village H
42.3350° N 71.0888° W,International Village
42.3412° N 71.0903° W,Stetson West
42.3371° N 71.0855° W,LightView
42.3407° N 71.0897° W,Speare Hall
42.3382° N 71.0913° W,Willis Hall
42.3425° N 71.0906° W,Smith Hall
42.3383° N 71.0935° W,Rubenstein Hall
42.3421° N 71.0912° W,Melvin Hall
42.3381° N 71.0908° W,Hastings Hall
42.3393° N 71.0893° W,Cabot Physical Education Center
42.3402° N 71.0903° W,Marino Recreation Center
42.3374° N 71.1140° W,Parsons Field
42.3377° N 71.0870° W,Interdisciplinary Science and Engineering Complex (ISEC)
42.3377° N 71.0889° W,Egan Research Center
42.3385° N 71.0923° W,Khoury College of Computer Sciences
42.3404° N 71.0869° W,East Village
42.3377° N 71.0853° W,Alumni Center
42.3371° N 71.0894° W,Ruggles MBTA Station
42.3404° N 71.0894° W,Northeastern MBTA Station (Green Line)
42.3371° N 71.0905° W,Centennial Common
42.3376° N 71.0913° W,John D. O'Bryant African American Institute
42.3380° N 71.0864° W,Columbus Parking Garage
42.3363° N 71.0884° W,Renaissance Parking Garage
42.3398° N 71.0892° W,Northeastern University Main Campus
42.3414° N 71.0902° W,Stetson East
